dataset_id,name,institution,role
Grubb_2008,Peter Grubb,Cambridge University,"collector, lab_leader, contact"
Grubb_2008,Ian Wright,Macquarie University Sydney,contributor
Guilherme_Pereira_2018,Caio Guilherme Pereira,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology","contact, collector"
Guilherme_Pereira_2018,Hans Lambers,University of Western Australia,lab_leader
Guilherme_Pereira_2019,Caio Guilherme Pereira,"Department of Civil and Environmental Engineering, Massachusetts Institute of Technology","collector, contact"
Guilherme_Pereira_2019,Patrick Hayes,University of Western Australia,collector
Guilherme_Pereira_2019,Hans Lambers,University of Western Australia,lab_leader
Guilherme_Pereira_2019,Odhran S. O'Sullivan,Australian National University,collector
Guilherme_Pereira_2019,Lasantha K. Weerasinghe,Australian National University,collector
Guilherme_Pereira_2019,Owen Atkin,Australian National University,lab_leader
Hall_1981,TJ Hall,CSIRO,"collector, lab_leader"
Harrison_2009,Matthew Tom Harrison,"Tasmanian Institute of Agriculture, University of Tasmania","collector, contact"
Harrison_2009,John Evans,The Australian National University,lab_leader
Harrison_2009,Ian Wright,Macquarie University Sydney,contributor
Hassiotou_2009,Foteini Hassiotou,Unknown,"collector, contact"
Hassiotou_2009,Erik Veneklaas,University of Western Australia,lab_leader
Hassiotou_2009,Rachael Gallagher,Macquarie University Sydney,contributor
Hayes_2014,Patrick Hayes,University of Western Australia,"collector, contact"
Hayes_2014,Hans Lambers,University of Western Australia,lab_leader
Hayes_2014,Etienne Laliberte,Universite de Montreal,collector
Hayes_2018,Patrick Hayes,University of Western Australia,"collector, contact"
Hayes_2018,Peta Clode,University of Western Australia,collector
Hayes_2018,Hans Lambers,University of Western Australia,lab_leader
Henery_2001,Martin Henery,CSIRO,"collector, contact"
Henery_2001,Mark Westoby,Macquarie University Sydney,lab_leader
Henery_2001,Ian Wright,Macquarie University Sydney,contributor
Hocking_1982,Peter Hocking,Murdoch University,collector
Hocking_1986,Peter Hocking,Murdoch University,collector
Huang_2015,Guomin Huang,"Hawkesbury Institute for the Environment, Western Sydney University",collector
Huang_2015,David Tissue,"Hawkesbury Institute for the Environment, Western Sydney University","collector, lab_leader, contact"
Huang_2015,Renee Smith,"Hawkesbury Institute for the Environment, Western Sydney University",collector
Hughes_1992,Lesley Hughes,Macquarie University Sydney,collector
Hughes_1992,Barbara Rice,Macquarie University Sydney,collector
Hughes_1992,Mark Westoby,Macquarie University Sydney,"lab_leader, contact"
Hughes_1992,Ian Wright,Macquarie University Sydney,contributor
Hughes_2005,Kate Hughes,unknown,collector
Hughes_2005,Mark Westoby,Macquarie University Sydney,lab_leader
Hughes_2005,Ian Wright,Macquarie University Sydney,"contributor, contact"
Hyland_2003,Rachael Gallagher,Macquarie University Sydney,contributor
Ilic_2000,Jugo Ilic,University of Melbourne,"collector, lab_leader"
Ilic_2000,Amy Zanne,George Washington University,"contributor, contact"
Islam_1999_1,Muhammad Islam,unknown,collector
Islam_1999_1,Mark Adams,University of Western Australia,"lab_leader, contact"
Islam_1999_1,Rachael Gallagher,Macquarie University Sydney,contributor
Islam_1999_2,Muhammad Islam,unknown,collector
Islam_1999_2,Mark Adams,University of Western Australia,"lab_leader, contact"
Islam_1999_2,Rachael Gallagher,Macquarie University Sydney,contributor
Jagdish_2020,Ashika Jagdish,University of New South Wales,"contact, collector"
Jagdish_2020,Angela Moles,University of New South Wales,lab_leader
Jin_2019,Daniel Jin,"School of Life and Environmental Sciences, Faculty of Science, The University of Sydney","collector, contact"
Jin_2019,Dieter Hochuli,"School of Life and Environmental Sciences, Faculty of Science, The University of Sydney",lab_leader
Jordan_2001,Gregory Jordan,University of Tasmania,"collector, contact, lab_leader"
Jordan_2007,Gregory Jordan,University of Tasmania,"collector, contact, lab_leader"
Jordan_2007,Ian Wright,Macquarie University Sydney,contributor
Jordan_2015,Gregory Jordan,University of Tasmania,"collector, contact"
